Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,58597,Municipalidad de La Unión,La Unión,Costa Rica,Latin America,No,Yes,public,,"Other, please specify",Same - covers entire jurisdiction and nothing else,2020,,,Adaptation goal(s),114615,2022,POINT (-83.9833 9.91667),02/17/2023 03:20:42 AM
Cities 2022,49327,"City of Providence, RI",Providence,United States of America,United States of America,No,Yes,public,http://www.dem.ri.gov/programs/benviron/water/pdfs/wwtfclimstudy.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The State of Rhode Island is home to nineteen major wastewater treatment facilities and associated pump stations",2017,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,180609,2020,POINT (-71.4128 41.824),02/17/2023 03:20:42 AM
Cities 2022,863676,Lujan de Cuyo,,Argentina,Latin America,No,Yes,public,PLAC Lujan de Cuyo 2022.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario,"Dedicated team within jurisdiction; Other, please specify: Asociación civil Red Argentina de Municipios frente al Cambio Climático",Adaptation goal(s) and adaptation plan,137227,2019,,02/17/2023 03:20:42 AM
Cities 2022,55800,"City of Cambridge, MA","Cambridge, MA",United States of America,United States of America,No,Yes,public,finalreport_ccvapart2_mar2017_final2_web.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2017,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,118403,2020,POINT (-71.1057 42.3674),02/17/2023 03:20:42 AM
Cities 2022,54519,Lund Municipality,Lund,Sweden,Europe,No,Yes,public,https://moten.lund.se/welcome-sv/namnder-styrelser/kommunstyrelsen/kommunstyrelsen/agenda/risk-och-sarbarhetsanalys-for-lunds-kommun-2019-2022pdf-30003?downloadMode=open,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,0,,,02/17/2023 03:20:42 AM
Cities 2022,50203,Gaziantep Metropolitan Municipality,Gaziantep,Turkey,Europe,No,Yes,public,GBB_SECAP_EN_Report_final.pdf,The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2018,,,Adaptation goal(s) and adaptation plan,2130432,2021,,02/17/2023 03:20:42 AM
Cities 2022,31446,Taipei City Government,Taipei,"Taiwan, China",East Asia,No,Yes,public,2022臺北市氣候變遷調適執行方案(Taipei City Climate Change Adaptation Implementation Plan-Draft).pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,2524393,2021,POINT (121.564 25.0375),02/17/2023 03:20:42 AM
Cities 2022,826212,Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO),,Mexico,Latin America,No,No,public,JIRCO_PACREG_II.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations,Question not applicable,Adaptation goal(s) and adaptation plan,311676,2020,,02/17/2023 03:20:42 AM
Cities 2022,54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,No,Yes,public,Decreto Municipal No 1018 DE 18 AGOSTO 2022 (1).pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,472000,2022,POINT (-75.6906 4.80871),02/17/2023 03:20:42 AM
Cities 2022,36492,City of Parma,Parma,Italy,Europe,No,Yes,public,https://www.comune.parma.it/protezionecivile/Piano-di-Emergenza-Comunale-2.aspx,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: In the Civil protection plan, several plans are taken into account. Some of them target an area larger than city council boundaries to garantee a wider environmental protection sphere of influence such as the Idraulic risk  plan.",2001,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,198125,2019,POINT (10.3279 44.8015),02/17/2023 03:20:42 AM
Cities 2022,54034,"City of Grand Rapids, MI",Grand Rapids,United States of America,United States of America,No,Yes,public,https://www.accesskent.com/Sheriff/pdfs/GGRHazMitPlan_2017.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2017,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s),199417,2020,,02/17/2023 03:20:42 AM
Cities 2022,60185,City of Vantaa,Vantaa,Finland,Europe,No,Yes,public,https://www.hsy.fi/globalassets/ilmanlaatu-ja-ilmasto/tiedostot/hsy-ilmastolahtoinen-sosiaalinen-haavoittuvuus_2016.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The report deals with social vulnerability for heath waves and floods in the Helsinki Metropolitan area, including Vantaa.",2016,Assessment considers vulnerable populations,"Other, please specify: Cardiff University and HSY",Adaptation goal(s) and adaptation plan,239206,2022,,02/17/2023 03:20:42 AM
Cities 2022,31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia,Yes,No,public,The Bangkok Master Plan on Climate Change 2021-2030,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: relevant department within jurisdiction and local consultant",Adaptation goal(s) and adaptation plan,5527994,2021,POINT (100.556 13.7712),02/17/2023 03:20:42 AM
Cities 2022,3429,City of Stockholm,Stockholm,Sweden,Europe,Yes,Yes,public,Risk and vulnerability assessment- Consecquences of a 100- year rainfall,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2018,A process has been established to update the assessment at least every five years; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,978770,2021,POINT (18.0686 59.3293),02/17/2023 03:20:42 AM
Cities 2022,58871,"City of Salem, MA",Salem,United States of America,United States of America,No,Yes,public,https://www.salem.com/sites/g/files/vyhlif3756/f/uploads/salemclimatechangeplan_appendixc.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2014,"Other, please specify: Adaptation Strategies",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,44480,2021,POINT (-70.8967 42.5195),02/17/2023 03:20:42 AM
